precision,recall,cpu_time,total_completion_time
0.6051153846153847,0.6051153846153847,165.09932951927186,165.86579847335815
0.6052169230769231,0.6052169230769231,132.31010761260987,132.56855511665344
0.6049015384615384,0.6049015384615384,133.8313404083252,134.06465983390808
0.6050276923076924,0.6050276923076924,137.63792085647583,138.00834679603577
0.6049138461538461,0.6049138461538461,138.6884294986725,139.34799242019653
0.6050507692307693,0.6050507692307693,144.16661777496338,144.51637983322144
0.6049,0.6049,142.52359919548036,142.8288390636444
0.6053,0.6053,150.9248707294464,151.51324725151062
0.6050184615384615,0.6050184615384615,139.62018423080445,139.92603087425232
0.6048815384615385,0.6048815384615385,141.74301042556763,141.8931484222412
